Freq, Gain, Phase
1000,1.848943,-1.100717,2040.000000
1414,1.431452,-0.958777,2020.000000
2000,1.164990,-0.799512,2040.000000
2828,1.004595,-0.639603,2020.000000
4000,0.913500,-0.497155,1999.000000
5656,0.863800,-0.384410,1964.000000
7999,0.836950,-0.305050,1923.000000
11313,0.821828,-0.256203,1964.000000
16000,0.812644,-0.237646,1785.000000
22627,0.802884,-0.244237,1767.000000
31999,0.790482,-0.279320,1562.000000
45254,0.770596,-0.344740,1473.000000
63999,0.733958,-0.438595,1562.000000
90509,0.677442,-0.562556,1104.000000
127999,0.594956,-0.700538,1562.000000
